AA      odd     AA D,,,        HH      he      HH IY
        AE      at      AE T,,,        IH      it      IH T
        AH      hut     HH AH T,,,        IY      eat     IY T
        AO      ought   AO T,,,        JH      gee     JH IY
        AW      cow     K AW,,,        K       key     K IY
        AY      hide    HH AY D,,,        L       lee     L IY
        B       be      B IY,,,        M       me      M IY
        CH      cheese  CH IY Z,,,        N       knee    N IY
        D       dee     D IY,,,        NG      ping    P IH NG
        DH      thee    DH IY,,,        OW      oat     OW T
        EH      Ed      EH D,,,        OY      toy     T OY
        ER      hurt    HH ER T,,,        P       pee     P IY
        EY      ate     EY T,,,        R       read    R IY D
        F       fee     F IY,,,        S       sea     S IY
        G       green   G R IY N,,,        SH      she     SH IY
,,,        T       tea     T IY
,,,        TH      theta   TH EY T AH
,,,        UH      hood    HH UH D
,,,        UW      two     T UW
,,,        V       vee     V IY
,,,        W       we      W IY
,,,        Y       yield   Y IY L D
,,,        Z       zee     Z IY
,,,        ZH      seizure S IY ZH ER
