TxtIPA	Example	English	IPA	MRC	CMU	Category		Type	Place	Manner
p  	put  	p	p  	p  	P	4		Consonant	Bilabial	Plosive
b  	but  	b	b  	b  	B	2		Consonant	Bilabial	Plosive
t  	ten  	t	t  	t  	T	1		Consonant	Dental	Plosive
d  	den  	d	d  	d  	D	5	5	Consonant	Dental	Plosive
k  	can  	k	k  	k  	K	3		Consonant	Velar	Plosive
m  	man  	m	m  	m  	M	1		Consonant	Bilabial	Nasal
n  	not  	n	n  	n  	N	2		Consonant	Dental	Nasal
l  	like  	l	ɫ	l  	L	12		Consonant	Dental	Lateral App
r  	run  	r	ɹ	r  	R	5		Consonant	Dental	Approximant
f  	full  	f	f  	f  	F	8		Consonant	Labiodental	Fricative
v  	very  	v	v  	v  	V	6		Consonant	Labiodental	Fricative
s  	some  	s	s  	s  	S	6		Consonant	Alveolar	Fricative
z  	zeal  	z	z  	z  	Z	8		Consonant	Alveolar	Fricative
h  	hat  	h	h  	h  	HH	6		Consonant	Glottal	Fricative
w  	went  	w	w  	w  	W	7	10	Consonant	Velar	Approximant
g  	game  	g	ɡ	g	G	3	10	Consonant	Velar	Plosive
t^  	chain  	ch	tʃ	tS  	CH	4	4	Consonant	Postalveolar	Sibilant Affricate
dz  	Jane  	j	dʒ	dZ  	JH	7	7	Consonant	Postalveolar	Sibilant Affricate
\  	long  	ng	ŋ	9  	NG	13		Consonant	Velar	Nasal
O  	thin  	th	θ	T  	TH	1		Consonant	Dental	Fricative
I  	then  	th	ð	D  	DH	5		Consonant	Dental	Fricative
^  	ship  	sh	ʃ	S  	SH	7		Consonant	Postalveolar	Fricative
Q  	measure  	zh	ʒ	Z  	ZH	11		Consonant	Postalveolar	Fricative
	what	wh	hw			9		Consonant	Velar	Approximant
j  	yes  	y	j  	j  	Y	10		Consonant	Palatal	Approximant
i:  	bean  	e	i	i  	IY	6		Vowel	Front	Close
a:  	barn  	a	ɑ	A  		12		Vowel	Back	Open
u:  	boon  	oo	u	u  	UW	3		Vowel	Back	Close
i  	pit  	i	ɪ	I  	IH	5		Vowel	Front	Near-close
S  	pet  	e	ɛ	e  	EH	8		Vowel	Front	Open-mid
de  	pat  	a	æ	&  	AE	9		Vowel	Front	Near-open
^  	putt  	u	ʌ	V  	V  	1		Vowel	Back	Open-mid
	law	au	ɔ		AO	1		Vowel	Back	Open-mid
o  	pot  	o	ɒ	0	AA	12		Vowel	Back	Open
C  	good  	oo	ʊ	U  	UH	4		Vowel	Back	Near-close
]  	about  	a	ə	@  	AH	0		Vowel	Central	Mid
ei  	bay  	a	eɪ	eI  	EY	1		Vowel	Front	Shift
ai  	buy  	i	aɪ	aI  	AY	4		Vowel	Front	Shift
i  	boy  	oi	ɔɪ	oI	OY	7		Vowel	Forward	Shift
oC  	no  	o	oʊ	@U  	OW	8		Vowel	Back	Shift
aC  	now  	ow	aʊ	aU  	AW	4		Vowel	Backward	Shift
i]  	peer  	eer	ɪɹ	I@  				Mix	Front	Near-close
S]  	pair  	air	ɛəɹ	e@  				Mix	Backward	Shift
C]  	poor  	oor	ʊəɹ	u@  				Mix	Central	Shift
	were	r	əɹ	r  	ER			Mix	Central	Mid
ar	car	ar	ɑɹ					Mix	Back	Open
v  	burn  	ur	ɝ	3  				Mix	Central	Open-mid
:  	born  	or	ɔɹ	O				Mix	Back	Close-mid
	pure	ure	jʊəɹ					Mix	Forward	Shift
	ba'man	'	ʔ	'				Consonant	Glottal	Plosive
