TxtIPA,Example,English,IPA,TWL,MRC,CMU,Mod,Category,Certainty,Hardness,Shade,Type,Place,Manner
p  ,put  ,p,p  ,p  ,p  ,P,+,4,8,10,Red,C,Bilabial,Plosive
b  ,but  ,b,b  ,b  ,b  ,B,+,2,9,10,,C,Bilabial,Plosive
t  ,ten  ,t,t  ,t  ,t  ,T,+4,1,4,10,Red,C,Dental,Plosive
d  ,den  ,d,d  ,d  ,d  ,D,+,5,10,10,Black,C,Dental,Plosive
k  ,can  ,k,k  ,k  ,k  ,K,+5,3,5,10,Black,C,Velar,Plosive
m  ,man  ,m,m  ,m  ,m  ,M,-3,6,2,8,,C,Bilabial,Nasal
n  ,not  ,n,n  ,n  ,n  ,N,-2,0,0,8,Grey,C,Alveolar,Nasal
l  ,like  ,l,ɫ,l,l  ,L,-1,11,0,7,,C,Alveolar,Lateral App
r  ,run  ,r,ɹ,ɹ,r  ,R,+1,0,1,7,Black,C,Alveolar,Approximant
f  ,full  ,f,f  ,f  ,f  ,F,,8,5,9,White,C,Labiodental,Fricative
v  ,very  ,v,v  ,v  ,v  ,V,+1,7,9,9,Black,C,Labiodental,Fricative
s  ,some  ,s,s  ,s  ,s  ,S,+1,14,3,6,Red,C,Alveolar,Fricative
z  ,zeal  ,z,z  ,z  ,z  ,Z,+1,12,1,6,,C,Alveolar,Fricative
h  ,hat  ,h,h  ,h  ,h  ,HH,-7,7,4,10,,C,Glottal,Fricative
w  ,went  ,w,w  ,w  ,w  ,W,+5,9,5,8,Grey,C,Velar,Approximant
g  ,game  ,g,ɡ,g,g,G,,10,7,10,Black,C,Velar,Plosive
\  ,long  ,ng,ŋ,ŋ,9  ,NG,+9,13,0,9,,C,Velar,Nasal
O,thin  ,th,θ,θ,T  ,TH,+12,1,6,10,White,C,Dental,Plosive
I  ,then  ,th,ð,ð,D  ,DH,-5,5,7,10,,C,Dental,Plosive
^  ,ship  ,sh,ʃ,ʃ,S  ,SH,+4,7,4,7,White,C,Postalveolar,Fricative
Q  ,measure  ,zh,ʒ,ʒ,Z  ,ZH,+1,6,3,7,,C,Postalveolar,Fricative
j  ,yes  ,y,j  ,y,j  ,Y,+4,10,2,8,Grey,C,Palatal,Approximant
,what,wh,hw,ʍ,,HW,,8,1,9,Grey,C,Velar,Approximant
,ba'man,`,ʔ,`,',,+,11,3,9,,C,Glottal,Plosive
v  ,burn  ,er,ɝ,ɝ,3  ,ER,+1,0,4,5,,C,Alveolar,Approximant
,waiter,er,ɚ,ɚ,,,+1,0,,5,,C,Alveolar,Approximant
