TxtIPA,Example,English,IPA,TWL,MRC,CMU,Mod,Category,Certainty,Hardness,Shade,Type,Place,Manner
p,put,p,p,p,p,P,0,4,,10.0,Red,C,Bilabial,Plosive
b,but,b,b,b,b,B,0,2,,10.0,_,C,Bilabial,Plosive
t,ten,t,t,t,t,T,4,1,,10.0,Red,C,Dental,Plosive
d,den,d,d,d,d,D,0,5,,10.0,Black,C,Dental,Plosive
k,can,k,k,k,k,K,5,3,,10.0,Black,C,Velar,Plosive
m,man,m,m,m,m,M,-3,6,,8.0,_,C,Bilabial,Nasal
n,not,n,n,n,n,N,-2,0,,8.0,Grey,C,Alveolar,Nasal
l,like,l,ɫ,l,l,L,-1,11,,7.0,_,C,Alveolar,Lateral App
r,run,r,ɹ,ɹ,r,R,1,0,,7.0,Black,C,Alveolar,Approximant
f,full,f,f,f,f,F,0,8,,9.0,White,C,Labiodental,Fricative
v,very,v,v,v,v,V,1,7,,9.0,Black,C,Labiodental,Fricative
s,some,s,s,s,s,S,1,14,,6.0,Red,C,Alveolar,Fricative
z,zeal,z,z,z,z,Z,1,12,,6.0,_,C,Alveolar,Fricative
h,hat,h,h,h,h,HH,-7,7,,10.0,_,C,Glottal,Fricative
w,went,w,w,w,w,W,5,9,,8.0,Grey,C,Velar,Approximant
g,game,g,ɡ,g,g,G,0,10,,10.0,Black,C,Velar,Plosive
\,long,ng,ŋ,ŋ,9,NG,9,13,,9.0,_,C,Velar,Nasal
O,thin,th,θ,θ,T,TH,12,1,,10.0,White,C,Dental,Plosive
I,then,th,ð,ð,D,DH,-5,5,,10.0,_,C,Dental,Plosive
^,ship,sh,ʃ,ʃ,S,SH,4,7,,7.0,White,C,Postalveolar,Fricative
Q,measure,zh,ʒ,ʒ,Z,ZH,1,6,,7.0,_,C,Postalveolar,Fricative
j,yes,y,j,y,j,Y,4,10,,8.0,Grey,C,Palatal,Approximant
_,what,wh,hw,ʍ,_,HW,0,8,,9.0,Grey,C,Velar,Approximant
_,ba'man,`,ʔ,`,',_,0,11,,9.0,_,C,Glottal,Plosive
v,burn,er,ɝ,ɝ,3,ER,1,0,,5.0,_,C,Alveolar,Approximant
_,waiter,er,ɚ,ɚ,_,_,1,0,_,5.0,_,C,Alveolar,Approximant
i:,bean,ee,i,i,i,IY,11,9,,3.0,_,V,Front,Close
a:,barn,a,ɑ,ɑ,A,_,5,3,,4.0,_,V,Back,Open
u:,boon,oo,u,u,u,UW,1,11,,2.0,_,V,Back,Close
i,pit,i,ɪ,ɪ,I,IH,10,8,,2.0,_,V,Front,Near-close
S,pet,e,ɛ,ɛ,e,EH,8,6,,3.0,_,V,Front,Open-mid
de,pat,a,æ,æ,&,AE,7,5,,2.0,_,V,Front,Near-open
^,putt,u,ʌ,ʌ,V,V,4,2,,3.0,_,V,Back,Open-mid
_,law,au,ɔ,ɔ,_,AO,4,2,,5.0,_,V,Back,Open-mid
o,pot,o,ɒ,ɒ,0,AA,5,3,,4.0,_,V,Back,Open
C,good,oo,ʊ,ʊ,U,UH,2,12,,5.0,_,V,Back,Near-close
],about,a,ə,ə,@,AH,12,0,,4.0,_,V,Central,Mid
ei,bay,a,e,e,eI,EY,10,8,,5.0,_,V,Front,Close-mid
ai,buy,i,`,a,aI,AY,7,5,,4.0,_,V,Front,Open
_,series,_,ɨ,ɨ,_,_,12,10,_,5.0,_,_,_,_
oC,no,o,o,o,@U,OW,2,12,,3.0,_,V,Back,Close-mid
_,"""…""",ˌ,_,ˌ,_,_,0,15,,1.0,_,A,Cadence,Pause
_,Emphasis,ˈ,_,ˈ,_,_,0,15,,1.0,_,A,Cadence,Emphasis
