,TWL,Score,Len,Rd,Sp,Vw,Ob,IsEnd
0,eɪ,2.1691662930373004,1,11,0,10,0,1
1,ˈsɪə,2.5917874396135265,2,12,0,11,0,0
2,ɹiz,2.5917874396135265,2,12,0,11,0,1
3,ʌv,2.070424811894682,1,7,0,4,0,1
4,ˈɛ,2.7432603249752936,3,8,0,8,0,0
5,skə,2.7432603249752936,3,12,0,12,0,0
6,ˌpeɪdz,2.7432603249752936,3,12,0,10,0,1
7,ˈdɛ,2.5544716060474095,4,8,0,8,0,0
8,mən,2.5544716060474095,4,10,0,12,0,0
9,ˌstɹeɪt,2.5544716060474095,4,1,0,10,0,0
10,iŋ,2.5544716060474095,4,13,0,11,0,1
11,ði,2.221793366296213,1,11,0,11,0,1
12,ˈæ,2.4287998642266357,2,7,0,7,0,0
13,dɪdʒ,2.4287998642266357,2,6,0,11,0,1
14,ðæt,2.6241580428380087,1,1,0,7,0,1
15,ʍʌt,2.562319384891449,1,1,0,4,0,1
16,ɪz,2.382795123862646,1,12,0,11,0,1
17,gʊd,2.9668852612131476,1,5,0,2,0,1
18,fɔɹ,2.4500911317949097,1,5,0,4,0,1
19,ði,2.221793366296213,1,11,0,11,0,1
20,gus,2.403278940765231,1,14,0,1,0,1
21,ɪz,2.382795123862646,1,12,0,11,0,1
22,ˈɔl,2.5853771402128642,2,11,0,4,0,0
23,soʊ,2.5853771402128642,2,2,0,2,0,1
24,gʊd,2.9668852612131476,1,5,0,2,0,1
25,fɔɹ,2.4500911317949097,1,5,0,4,0,1
26,ði,2.221793366296213,1,11,0,11,0,1
27,ˈgæn,2.4398842596564787,2,5,0,7,0,0
28,dɚ,2.4398842596564787,2,6,0,0,0,1
29,",",3.038379994452844,1,-1,-1,-1,0,1
30,sʌm,2.5318472078539807,1,3,0,4,0,1
31,ʌv,2.070424811894682,1,7,0,4,0,1
32,ʍɪtʃ,2.1985657688331686,1,4,0,11,0,1
33,ə,2.6252096240685407,4,12,0,12,0,0
34,ˈkeɪ,2.6252096240685407,4,11,0,10,0,0
35,ʒən,2.6252096240685407,4,10,0,12,0,0
36,li,2.6252096240685407,4,11,0,11,0,1
37,ə,3.2477362665600964,2,12,0,12,0,0
38,ˈmyuzz,3.2477362665600964,2,12,0,1,0,1
39,bʌt,2.489388827156681,1,1,0,4,0,1
40,nʌn,2.3935188266434,1,2,0,4,0,1
